participant_id	age	sex
sub-1473	36	n/a
sub-1475	36	n/a
sub-1480	36	n/a
sub-1481	36	n/a
sub-1487	36	n/a
sub-1492	36	n/a
sub-1499	36	n/a
sub-1500	36	n/a
sub-1501	36	n/a
sub-1503	36	n/a
sub-1505	36	n/a
sub-1507	36	n/a
sub-1509	36	n/a
sub-1510	36	n/a
sub-1511	36	n/a
sub-1512	36	n/a
sub-1513	36	n/a
sub-1515	36	n/a
sub-1516	36	n/a
sub-1518	36	n/a
sub-1519	36	n/a
sub-1520	36	n/a
sub-1521	36	n/a
sub-1523	36	n/a
sub-1525	36	n/a
sub-1526	36	n/a
sub-1530	36	n/a
sub-1531	36	n/a
sub-1532	36	n/a
sub-1533	36	n/a
sub-1534	36	n/a
sub-1535	36	n/a
sub-1536	36	n/a
sub-1537	36	n/a
sub-1540	36	n/a
sub-1541	36	n/a
sub-1542	36	n/a
sub-1543	36	n/a
sub-1545	36	n/a
sub-1546	36	n/a
sub-1548	36	n/a
sub-1549	36	n/a
sub-1553	36	n/a
sub-1554	36	n/a
sub-1557	36	n/a
sub-1559	36	n/a
sub-1560	36	n/a
sub-1563	36	n/a
sub-1567	36	n/a
sub-1569	36	n/a
sub-1570	36	n/a
sub-1571	36	n/a
sub-1572	36	n/a
sub-1575	36	n/a
sub-1578	36	n/a
sub-1579	36	n/a
sub-1581	36	n/a
sub-1582	36	n/a
sub-1583	36	n/a
sub-1584	36	n/a
sub-1586	36	n/a
sub-1589	36	n/a
sub-1592	36	n/a
sub-1594	36	n/a
sub-1596	36	n/a
sub-1598	36	n/a
sub-1601	36	n/a
sub-1603	36	n/a
sub-1604	36	n/a
sub-1605	36	n/a
sub-1609	36	n/a
sub-1612	36	n/a
sub-1613	36	n/a
sub-1614	36	n/a
sub-1615	36	n/a
sub-1617	36	n/a
sub-1619	36	n/a
sub-1622	36	n/a
sub-1623	36	n/a
sub-1626	36	n/a
sub-1627	36	n/a
sub-1629	36	n/a
sub-1630	36	n/a
sub-1631	36	n/a
sub-1633	36	n/a
sub-1634	36	n/a
sub-1635	36	n/a
sub-1636	36	n/a
sub-1637	36	n/a
sub-1640	36	n/a
sub-1641	36	n/a
sub-1644	36	n/a
sub-1645	36	n/a
sub-1646	36	n/a
sub-1647	36	n/a
sub-1648	36	n/a
sub-1649	36	n/a
sub-1650	36	n/a
sub-1652	36	n/a
sub-1654	36	n/a
sub-1659	36	n/a
sub-1660	36	n/a
sub-1661	36	n/a
sub-1662	36	n/a
sub-1663	36	n/a
sub-1665	36	n/a
sub-1668	36	n/a
sub-1671	36	n/a
sub-1672	36	n/a
sub-1673	36	n/a
sub-1676	36	n/a
sub-1678	36	n/a
sub-1679	36	n/a
sub-1681	36	n/a
sub-1682	36	n/a
sub-1683	36	n/a
sub-1686	36	n/a
sub-1688	36	n/a
sub-1689	36	n/a
sub-1690	36	n/a
sub-1691	36	n/a
sub-1695	36	n/a
sub-1696	36	n/a
sub-2059	6	n/a
sub-2060	6	n/a
sub-2061	6	n/a
sub-2062	6	n/a
sub-2064	6	n/a
sub-2065	6	n/a
sub-2068	6	n/a
sub-2071	6	n/a
sub-2074	6	n/a
sub-2075	6	n/a
sub-2077	6	n/a
sub-2079	6	n/a
sub-2080	6	n/a
sub-2081	6	n/a
sub-2082	6	n/a
sub-2085	6	n/a
sub-2087	6	n/a
sub-2088	6	n/a
sub-2093	6	n/a
sub-2094	6	n/a
sub-2095	6	n/a
sub-2096	6	n/a
sub-2097	6	n/a
sub-2100	6	n/a
sub-2101	6	n/a
sub-2102	6	n/a
sub-2103	6	n/a
sub-2104	6	n/a
sub-2105	6	n/a
sub-2108	6	n/a
sub-2110	6	n/a
sub-2111	6	n/a
sub-2114	6	n/a
sub-2123	6	n/a
sub-2128	6	n/a
sub-2233	6	n/a
sub-2234	6	n/a
sub-2235	6	n/a
sub-2236	6	n/a
sub-2239	6	n/a
sub-2243	6	n/a
sub-2246	6	n/a
sub-3119	6	n/a
sub-3127	6	n/a
sub-3133	6	n/a
sub-3134	6	n/a
sub-3137	6	n/a
sub-3138	6	n/a
sub-3147	6	n/a
sub-3148	6	n/a
sub-3149	6	n/a
sub-3154	6	n/a
sub-3157	6	n/a
sub-3161	6	n/a
sub-3162	6	n/a
sub-3163	6	n/a
sub-3164	6	n/a
sub-3165	6	n/a
sub-3169	6	n/a
sub-3173	6	n/a
sub-3179	6	n/a
sub-3180	6	n/a
sub-3182	6	n/a
sub-3185	6	n/a
sub-3187	6	n/a
sub-3189	6	n/a
sub-3191	6	n/a
sub-3194	6	n/a
sub-3196	6	n/a
sub-3197	6	n/a
sub-3200	6	n/a
sub-3202	6	n/a
sub-3205	6	n/a
sub-3208	6	n/a
sub-3214	6	n/a
sub-3217	6	n/a
sub-3236	6	n/a
sub-3240	6	n/a
sub-3242	6	n/a
sub-3247	6	n/a
sub-3249	6	n/a
sub-3251	6	n/a
sub-3253	6	n/a
sub-3254	6	n/a
sub-3255	6	n/a
sub-3258	6	n/a
sub-3259	6	n/a
sub-3260	6	n/a
sub-3272	6	n/a
sub-3276	6	n/a
sub-3284	6	n/a
sub-3290	6	n/a
sub-3291	6	n/a
sub-3293	6	n/a
sub-3294	6	n/a
sub-3301	6	n/a
sub-3341	6	n/a
sub-3349	6	n/a
sub-3350	6	n/a
sub-3381	6	n/a
sub-3388	6	n/a
sub-3397	6	n/a
sub-3401	6	n/a
